Rank,Country,Country Code,Year,GDP Current USD
1,United States,USA,2024,28750956130731
2,China,CHN,2024,18743803170827
3,Germany,DEU,2024,4685592577805
4,Japan,JPN,2024,4027597523551
5,India,IND,2024,3909891533858
6,United Kingdom,GBR,2024,3686033044482
7,France,FRA,2024,3160442622465
8,Italy,ITA,2024,2380825077244
9,Canada,CAN,2024,2243636826634
10,Brazil,BRA,2024,2185821648944
11,Russian Federation,RUS,2024,2173835806672
12,"Korea, Rep.",KOR,2024,1875388209407
13,Mexico,MEX,2024,1856365616166
14,Australia,AUS,2024,1757022451653
15,Spain,ESP,2024,1725671652742
16,Indonesia,IDN,2024,1396300098191
17,Turkiye,TUR,2024,1359123768774
18,Saudi Arabia,SAU,2024,1239804533333
19,Netherlands,NLD,2024,1214927698573
20,Switzerland,CHE,2024,936564198049
21,Poland,POL,2024,917767106147
22,Belgium,BEL,2024,671370081636
23,Argentina,ARG,2024,638365455340
24,Ireland,IRL,2024,609157459747
25,Sweden,SWE,2024,603715224266
26,United Arab Emirates,ARE,2024,552324846835
27,Singapore,SGP,2024,547386645892
28,Israel,ISR,2024,540379921262
29,Austria,AUT,2024,534790720467
30,Thailand,THA,2024,526517658842
31,Norway,NOR,2024,483592648313
32,Viet Nam,VNM,2024,476388230307
33,"Iran, Islamic Rep.",IRN,2024,475252089215
34,Philippines,PHL,2024,461617509782
35,Bangladesh,BGD,2024,450119432069
36,Denmark,DNK,2024,424524722037
37,Malaysia,MYS,2024,422227005429
38,Colombia,COL,2024,418818154879
39,"Hong Kong SAR, China",HKG,2024,406863396487
40,South Africa,ZAF,2024,401144998374
41,"Egypt, Arab Rep.",EGY,2024,389059911004
42,Romania,ROU,2024,382564217989
43,Pakistan,PAK,2024,371570000121
44,Czechia,CZE,2024,347034062928
45,Chile,CHL,2024,330267137372
46,Portugal,PRT,2024,313271185085
47,Finland,FIN,2024,298696961298
48,Kazakhstan,KAZ,2024,291480274649
49,Peru,PER,2024,289221969063
50,Iraq,IRQ,2024,279641257615
51,Algeria,DZA,2024,269322281665
52,New Zealand,NZL,2024,260172385098
53,Greece,GRC,2024,256238371778
54,Nigeria,NGA,2024,252261880141
55,Hungary,HUN,2024,222722738926
56,Qatar,QAT,2024,219162637363
57,Ukraine,UKR,2024,190741262415
58,Morocco,MAR,2024,160610994055
59,Kuwait,KWT,2024,160227273053
60,Ethiopia,ETH,2024,149740297953
61,Slovak Republic,SVK,2024,140934076532
62,Puerto Rico (US),PRI,2024,126029527034
63,Ecuador,ECU,2024,124676074700
64,Dominican Republic,DOM,2024,124282245639
65,Kenya,KEN,2024,120339557906
66,"Venezuela, RB",VEN,2024,119802963258
67,Uzbekistan,UZB,2024,114965293467
68,Bulgaria,BGR,2024,113343355780
69,Guatemala,GTM,2024,113199581158
70,Cuba,CUB,2020,107352000000
71,Oman,OMN,2024,107137198769
72,Angola,AGO,2024,100998916781
73,Sri Lanka,LKA,2024,98963185510
74,Costa Rica,CRI,2024,95350423177
75,Luxembourg,LUX,2024,93279851863
76,Croatia,HRV,2024,92983810329
77,Serbia,SRB,2024,90097765959
78,Cote d'Ivoire,CIV,2024,87113179149
79,Panama,PAN,2024,86523959132
80,Lithuania,LTU,2024,84869215513
81,Ghana,GHA,2024,82308110386
82,Uruguay,URY,2024,80961511074
83,Tanzania,TZA,2024,78844405385
84,Belarus,BLR,2024,75961865472
