Common Name,Scientific Name,Class,Order,IUCN Status,Population Trend,Population Estimate,Primary Threat,Secondary Threat,Habitat,Region,Country,Endemic,Last Assessed
Amur Leopard,Panthera pardus orientalis,Mammalia,Carnivora,Critically Endangered,Increasing,<130,Poaching,Habitat loss,Temperate forest,Asia,Russia; China,No,2020
Sumatran Tiger,Panthera tigris sumatrae,Mammalia,Carnivora,Critically Endangered,Decreasing,~400,Poaching,Deforestation,Tropical forest,Asia,Indonesia,Yes,2022
Tiger,Panthera tigris,Mammalia,Carnivora,Endangered,Increasing,3700-5600,Poaching,Habitat loss,Tropical forest,Asia,India; Russia; Indonesia,No,2022
Snow Leopard,Panthera uncia,Mammalia,Carnivora,Vulnerable,Decreasing,2710-3386,Poaching,Human-wildlife conflict,Montane,Asia,China; Mongolia; India; Nepal,No,2016
Lion,Panthera leo,Mammalia,Carnivora,Vulnerable,Decreasing,23000-39000,Human-wildlife conflict,Habitat loss,Savanna,Africa,Kenya; Tanzania; Botswana,No,2023
Asiatic Lion,Panthera leo persica,Mammalia,Carnivora,Endangered,Increasing,~670,Habitat loss,Disease,Shrubland,Asia,India,Yes,2008
Leopard,Panthera pardus,Mammalia,Carnivora,Vulnerable,Decreasing,Unknown,Habitat loss,Poaching,Tropical forest,Africa,Widespread Africa and Asia,No,2023
Cheetah,Acinonyx jubatus,Mammalia,Carnivora,Vulnerable,Decreasing,~6500,Habitat loss,Human-wildlife conflict,Savanna,Africa,Namibia; Botswana; Kenya,No,2021
Asiatic Cheetah,Acinonyx jubatus venaticus,Mammalia,Carnivora,Critically Endangered,Decreasing,<30,Habitat loss,Hunting,Desert,Asia,Iran,Yes,2021
Iberian Lynx,Lynx pardinus,Mammalia,Carnivora,Vulnerable,Increasing,~2000,Habitat loss,Disease,Shrubland,Europe,Spain; Portugal,Yes,2024
Clouded Leopard,Neofelis nebulosa,Mammalia,Carnivora,Vulnerable,Decreasing,Unknown,Deforestation,Poaching,Tropical forest,Asia,Nepal; Myanmar; Thailand,No,2021
Sunda Clouded Leopard,Neofelis diardi,Mammalia,Carnivora,Vulnerable,Decreasing,Unknown,Deforestation,Poaching,Tropical forest,Asia,Indonesia; Malaysia,Yes,2015
Fishing Cat,Prionailurus viverrinus,Mammalia,Carnivora,Vulnerable,Decreasing,Unknown,Habitat loss,Pollution,Wetland,Asia,India; Bangladesh; Sri Lanka,No,2016
Andean Mountain Cat,Leopardus jacobita,Mammalia,Carnivora,Endangered,Decreasing,<1400,Habitat loss,Hunting,Montane,South America,Peru; Bolivia; Chile; Argentina,Yes,2016
Flat-headed Cat,Prionailurus planiceps,Mammalia,Carnivora,Endangered,Decreasing,<2500,Habitat loss,Pollution,Wetland,Asia,Malaysia; Indonesia; Thailand,Yes,2015
Bornean Bay Cat,Catopuma badia,Mammalia,Carnivora,Endangered,Decreasing,<2200,Deforestation,Hunting,Tropical forest,Asia,Malaysia; Indonesia,Yes,2015
Marbled Cat,Pardofelis marmorata,Mammalia,Carnivora,Near Threatened,Decreasing,Unknown,Deforestation,Hunting,Tropical forest,Asia,India; Myanmar; Indonesia,No,2015
Sumatran Orangutan,Pongo abelii,Mammalia,Primates,Critically Endangered,Decreasing,~13800,Deforestation,Illegal wildlife trade,Tropical forest,Asia,Indonesia,Yes,2016
Bornean Orangutan,Pongo pygmaeus,Mammalia,Primates,Critically Endangered,Decreasing,~104700,Deforestation,Hunting,Tropical forest,Asia,Indonesia; Malaysia,Yes,2016
Tapanuli Orangutan,Pongo tapanuliensis,Mammalia,Primates,Critically Endangered,Decreasing,<800,Deforestation,Dams,Tropical forest,Asia,Indonesia,Yes,2017
