Rank,State/UT,Type,2011 Census Population,% of India (2011),2023 Population Estimate,% of India (2023),Density 2011 (per km²),Sex Ratio 2011 (females per 1000 males)
1,Uttar Pradesh,State,199812341,16.50%,235687000,16.98%,828,912
2,Bihar,State,104099452,8.60%,126756000,9.13%,1102,918
3,Maharashtra,State,112374333,9.28%,126710000,9.13%,365,929
4,West Bengal,State,91276115,7.54%,99084000,7.14%,1029,953
5,Madhya Pradesh,State,72626809,5.99%,86579000,6.24%,236,931
6,Rajasthan,State,68548437,5.66%,81025000,5.84%,201,928
7,Tamil Nadu,State,72147030,5.95%,76860000,5.54%,555,996
8,Karnataka,State,61095297,5.04%,67692000,4.88%,319,973
9,Gujarat,State,60439692,4.99%,71507000,5.15%,308,919
10,Andhra Pradesh,State,49577103,4.09%,53156000,3.83%,303,993
11,Odisha,State,41974219,3.46%,46276000,3.33%,269,978
12,Telangana,State,35003674,2.89%,38090000,2.75%,312,988
13,Kerala,State,33406061,2.76%,35776000,2.58%,859,1084
14,Jharkhand,State,32988134,2.72%,39466000,2.84%,414,948
15,Assam,State,31205576,2.58%,35713000,2.57%,398,958
16,Punjab,State,27743338,2.29%,30730000,2.21%,551,895
17,Chhattisgarh,State,25545198,2.11%,30180000,2.17%,189,991
18,Haryana,State,25351462,2.09%,30209000,2.18%,573,879
19,Delhi,UT,16787941,1.39%,21359000,1.54%,11297,868
20,Jammu and Kashmir,UT,12267032,1.01%,13603000,0.98%,297,890
21,Uttarakhand,State,10086292,0.83%,11637000,0.84%,189,963
22,Himachal Pradesh,State,6864602,0.57%,7468000,0.54%,123,972
23,Tripura,State,3673917,0.30%,4147000,0.30%,350,960
24,Meghalaya,State,2966889,0.24%,3349000,0.24%,132,989
25,Manipur,State,2570390,0.21%,3223000,0.23%,122,992
26,Nagaland,State,1978502,0.16%,2233000,0.16%,119,931
27,Goa,State,1458545,0.12%,1575000,0.11%,394,973
28,Arunachal Pradesh,State,1383727,0.11%,1562000,0.11%,17,938
29,Puducherry,UT,1247953,0.10%,1646000,0.12%,2598,1037
30,Mizoram,State,1097206,0.09%,1238000,0.09%,52,976
31,Chandigarh,UT,1055450,0.09%,1231000,0.09%,9252,818
32,Sikkim,State,610577,0.05%,689000,0.05%,86,890
33,Dadra and Nagar Haveli and Daman and Diu,UT,585764,0.05%,1263000,0.09%,970,711
34,Andaman and Nicobar Islands,UT,380581,0.03%,403000,0.03%,46,876
35,Ladakh,UT,274000,0.02%,300000,0.02%,2.8,853
36,Lakshadweep,UT,64473,0.005%,69000,0.005%,2013,946
Total,India,,1210854977,100%,1388163000,100%,382,943
