City,Country,Continent,System Name,Year Opened,Lines,Stations,Route Length (km),Daily Ridership (millions),Status
Shanghai,China,Asia,Shanghai Metro,2000,20,508,831,13.3,Active
Beijing,China,Asia,Beijing Subway,1969,27,490,783,11.8,Active
Tokyo,Japan,Asia,Tokyo Metro + Toei,1927,13,285,304,8.7,Active
Moscow,Russia,Europe,Moscow Metro,1935,15,263,465,8.9,Active
Guangzhou,China,Asia,Guangzhou Metro,1997,16,291,621,10.2,Active
New York City,United States,North America,New York City Subway,1904,36,472,380,3.5,Active
Chengdu,China,Asia,Chengdu Metro,2010,13,258,519,8.2,Active
Shenzhen,China,Asia,Shenzhen Metro,2004,16,366,607,7.8,Active
Seoul,South Korea,Asia,Seoul Metropolitan Subway,1974,9 (main),349,940,7.5,Active
Wuhan,China,Asia,Wuhan Metro,2004,14,282,518,5.3,Active
Hangzhou,China,Asia,Hangzhou Metro,2012,12,246,516,4.5,Active
London,United Kingdom,Europe,London Underground,1863,11,272,402,3.8,Active
Nanjing,China,Asia,Nanjing Metro,2005,11,218,426,3.9,Active
Xi'an,China,Asia,Xi'an Metro,2011,9,182,312,3.4,Active
Qingdao,China,Asia,Qingdao Metro,2015,9,176,306,2.9,Active
Mexico City,Mexico,North America,STC Metro,1969,12,195,226,4.3,Active
Paris,France,Europe,Paris Métro,1900,16,302,226,4.0,Active
Delhi,India,Asia,Delhi Metro,2002,10,288,392,5.8,Active
Zhengzhou,China,Asia,Zhengzhou Metro,2013,9,171,312,3.2,Active
Hong Kong,China,Asia,MTR,1979,11,98,268,5.8,Active
Cairo,Egypt,Africa,Cairo Metro,1987,3,64,90,3.6,Active
Singapore,Singapore,Asia,MRT Singapore,1987,6,133,230,3.3,Active
São Paulo,Brazil,South America,Metrô de São Paulo,1974,7,89,101,3.7,Active
Osaka,Japan,Asia,Osaka Metro,1933,9,133,137,2.4,Active
Tianjin,China,Asia,Tianjin Metro,1970,8,158,265,2.5,Active
Bangkok,Thailand,Asia,BTS + MRT,1999,6,128,175,2.3,Active
Tehran,Iran,Asia,Tehran Metro,2000,7,147,230,3.2,Active
Chongqing,China,Asia,Chongqing Rail Transit,2005,12,254,439,5.5,Active
Madrid,Spain,Europe,Madrid Metro,1919,13,302,294,2.0,Active
Santiago,Chile,South America,Santiago Metro,1975,7,163,140,2.6,Active
Chicago,United States,North America,Chicago L,1892,8,145,165,0.7,Active
Kuala Lumpur,Malaysia,Asia,Klang Valley Rapid Transit,1995,7,166,310,1.3,Active
Taipei,Taiwan,Asia,Taipei Metro,1996,6,131,153,2.0,Active
São Paulo,Brazil,South America,CPTM,1992,6,97,270,3.0,Active
Buenos Aires,Argentina,South America,Subte Buenos Aires,1913,6,90,52,0.6,Active
Istanbul,Turkey,Europe/Asia,Istanbul Metro,1989,12,172,231,1.8,Active
Bangalore,India,Asia,Namma Metro,2011,3,61,75,0.8,Active
Mumbai,India,Asia,Mumbai Metro,2014,3,43,45,0.5,Active
Kolkata,India,Asia,Kolkata Metro,1984,6,82,61,0.7,Active
Hyderabad,India,Asia,Hyderabad Metro,2017,3,57,69,0.5,Active
Chennai,India,Asia,Chennai Metro,2015,3,45,55,0.4,Active
Jakarta,Indonesia,Asia,MRT Jakarta,2019,2,26,36,0.2,Active
Lahore,Pakistan,Asia,Lahore Metro,2020,1,26,27.1,0.3,Active
Karachi,Pakistan,Asia,Karachi Circular Railway,1969,1,23,44,0.1,Partly operational
Dhaka,Bangladesh,Asia,Dhaka Metro,2022,1,17,21.2,0.2,Active
Berlin,Germany,Europe,U-Bahn Berlin,1902,10,175,155,1.1,Active
Munich,Germany,Europe,U-Bahn München,1971,6,100,95,1.2,Active
Rome,Italy,Europe,Rome Metro,1955,3,73,60,0.8,Active
Barcelona,Spain,Europe,Barcelona Metro,1924,11,165,163,1.2,Active
Lisbon,Portugal,Europe,Lisbon Metro,1959,4,56,44.5,0.5,Active
Vienna,Austria,Europe,Vienna U-Bahn,1976,5,109,83,1.3,Active
Prague,Czech Republic,Europe,Prague Metro,1974,3,61,65.2,0.6,Active
Warsaw,Poland,Europe,Warsaw Metro,1995,2,36,36,0.8,Active
Stockholm,Sweden,Europe,Tunnelbana,1950,3,100,110,1.1,Active
Oslo,Norway,Europe,Oslo T-bane,1966,5,101,85,0.4,Active
Amsterdam,Netherlands,Europe,GVB Metro,1977,4,52,42,0.2,Active
Athens,Greece,Europe,Athens Metro,1869,3,61,95,0.7,Active
Bucharest,Romania,Europe,Bucharest Metro,1979,6,54,78,0.8,Active
Budapest,Hungary,Europe,Budapest Metro,1896,4,52,39,1.2,Active
Los Angeles,United States,North America,LA Metro Rail,1990,6,101,220,0.4,Active
Washington DC,United States,North America,Washington Metro,1976,6,98,191,0.7,Active
San Francisco,United States,North America,BART,1972,5,50,182,0.4,Active
Boston,United States,North America,MBTA Subway,1897,4,53,67,0.3,Active
Philadelphia,United States,North America,SEPTA Rapid Transit,1907,4,74,95,0.3,Active
Toronto,Canada,North America,Toronto Subway,1954,4,75,77.7,0.8,Active
Montreal,Canada,North America,Montréal Metro,1966,4,68,69,1.1,Active
Vancouver,Canada,North America,SkyTrain,1985,3,53,80,0.5,Active
Riyadh,Saudi Arabia,Asia,Riyadh Metro,2024,6,85,176,N/A,Recently opened
Dubai,United Arab Emirates,Asia,Dubai Metro,2009,2,53,89.6,0.6,Active
Doha,Qatar,Asia,Doha Metro,2019,3,37,76,0.2,Active
Abu Dhabi,United Arab Emirates,Asia,Abu Dhabi Metro,2030,N/A,N/A,131,N/A,Under construction
Kyiv,Ukraine,Europe,Kyiv Metro,1960,3,52,67,1.4,Active
Minsk,Belarus,Europe,Minsk Metro,1984,3,31,37.3,0.9,Active
Tbilisi,Georgia,Asia,Tbilisi Metro,1966,2,22,27.1,0.3,Active
Baku,Azerbaijan,Asia,Baku Metro,1967,2,25,36.6,0.6,Active
Tashkent,Uzbekistan,Asia,Tashkent Metro,1977,4,35,46,0.4,Active
Almaty,Kazakhstan,Asia,Almaty Metro,2011,2,11,22.2,0.1,Active
Yerevan,Armenia,Asia,Yerevan Metro,1981,1,10,13.4,0.1,Active
Lagos,Nigeria,Africa,Lagos Rail Mass Transit,2023,1,13,37,N/A,Recently opened
Johannesburg,South Africa,Africa,Gautrain,2010,2,10,80,0.1,Active
Algiers,Algeria,Africa,Algiers Metro,2011,1,19,18.6,0.2,Active
