Rank,Peak,Height (m),Range,Country
1,Mount Everest,8849,Himalayas,Nepal / China
2,K2,8611,Karakoram,Pakistan / China
3,Kangchenjunga,8586,Himalayas,Nepal / India
4,Lhotse,8516,Himalayas,Nepal / China
5,Makalu,8485,Himalayas,Nepal / China
6,Cho Oyu,8188,Himalayas,Nepal / China
7,Dhaulagiri I,8167,Himalayas,Nepal
8,Manaslu,8163,Himalayas,Nepal
9,Nanga Parbat,8126,Himalayas,Pakistan
10,Annapurna I,8091,Himalayas,Nepal
11,Gasherbrum I,8080,Karakoram,Pakistan / China
12,Broad Peak,8051,Karakoram,Pakistan / China
13,Gasherbrum II,8034,Karakoram,Pakistan / China
14,Shishapangma,8027,Himalayas,China
15,Gyachung Kang,7952,Himalayas,Nepal / China
16,Gasherbrum III,7946,Karakoram,Pakistan / China
17,Annapurna II,7937,Himalayas,Nepal
18,Gasherbrum IV,7932,Karakoram,Pakistan / China
19,Himalchuli,7893,Himalayas,Nepal
20,Distaghil Sar,7884,Karakoram,Pakistan
21,Ngadi Chuli,7871,Himalayas,Nepal
22,Nuptse,7861,Himalayas,Nepal
23,Khunyang Chhish,7852,Karakoram,Pakistan
24,Masherbrum,7821,Karakoram,Pakistan / China
25,Nanda Devi,7816,Himalayas,India
26,Chomo Lonzo,7790,Himalayas,China
27,Batura Sar,7785,Karakoram,Pakistan
28,Rakaposhi,7788,Karakoram,Pakistan
29,Namcha Barwa,7782,Himalayas,China
30,Kamet,7756,Himalayas,India / China
31,Dhaulagiri II,7751,Himalayas,Nepal
32,Saltoro Kangri,7742,Karakoram,Pakistan / India
33,Jannu,7711,Himalayas,Nepal
34,Tirich Mir,7708,Hindu Kush,Pakistan
35,Molamenqing,7703,Himalayas,China
36,Gurla Mandhata,7694,Himalayas,China
37,Saser Kangri I,7672,Karakoram,India
38,Changtse,7663,Himalayas,China
39,Kongur Tagh,7649,Pamir,China
40,Annapurna III,7555,Himalayas,Nepal
41,Dhaulagiri IV,7661,Himalayas,Nepal
42,Skyang Kangri,7545,Karakoram,Pakistan / China
43,Ismoil Somoni,7495,Pamir,Tajikistan
44,Noshaq,7492,Hindu Kush,Afghanistan / Pakistan
45,Pumori,7161,Himalayas,Nepal / China
46,Aconcagua,6961,Andes,Argentina
47,Lenin Peak,7134,Pamir,Kyrgyzstan / Tajikistan
48,Khan Tengri,7010,Tian Shan,Kyrgyzstan / Kazakhstan
49,Pobeda Peak,7439,Tian Shan,Kyrgyzstan / China
50,Muztagh Ata,7546,Pamir,China
