Atomic Number,Symbol,Element Name,Period,Group,Block,Atomic Mass (u),State at STP,Category,Discovered,Discoverer,Key Uses
1,H,Hydrogen,1,1,s,1.008,Gas,Nonmetal,1766,Henry Cavendish,Fuel cells / Ammonia / Rocket fuel
2,He,Helium,1,18,s,4.003,Gas,Noble Gas,1895,William Ramsay,Balloons / MRI cooling / Diving
3,Li,Lithium,2,1,s,6.941,Solid,Alkali Metal,1817,Johan Arfwedson,Batteries / Psychiatric drugs
4,Be,Beryllium,2,2,s,9.012,Solid,Alkaline Earth Metal,1798,Louis Vauquelin,Aerospace alloys / X-ray windows
5,B,Boron,2,13,p,10.81,Solid,Metalloid,1808,Gay-Lussac & Thénard,Glass / Detergents / Nuclear reactors
6,C,Carbon,2,14,p,12.011,Solid,Nonmetal,Ancient,Unknown,Organic chemistry / Diamonds / Graphite / Steel
7,N,Nitrogen,2,15,p,14.007,Gas,Nonmetal,1772,Daniel Rutherford,Fertilizers / Explosives / Cryogenics
8,O,Oxygen,2,16,p,15.999,Gas,Nonmetal,1774,Carl Scheele / Priestley,Respiration / Steel / Water
9,F,Fluorine,2,17,p,18.998,Gas,Halogen,1886,Henri Moissan,Teflon / Toothpaste / Refrigerants
10,Ne,Neon,2,18,p,20.180,Gas,Noble Gas,1898,Ramsay & Travers,Neon signs / Lasers
11,Na,Sodium,3,1,s,22.990,Solid,Alkali Metal,1807,Humphry Davy,Table salt / Soap / Street lights
12,Mg,Magnesium,3,2,s,24.305,Solid,Alkaline Earth Metal,1755,Joseph Black,Alloys / Fireworks / Antacids
13,Al,Aluminium,3,13,p,26.982,Solid,Post-transition Metal,1825,Hans Ørsted,Packaging / Aircraft / Electrical wiring
14,Si,Silicon,3,14,p,28.086,Solid,Metalloid,1824,Jöns Berzelius,Semiconductors / Glass / Solar cells
15,P,Phosphorus,3,15,p,30.974,Solid,Nonmetal,1669,Hennig Brandt,Fertilizers / Matches / DNA backbone
16,S,Sulfur,3,16,p,32.06,Solid,Nonmetal,Ancient,Unknown,Gunpowder / Rubber vulcanization / H2SO4
17,Cl,Chlorine,3,17,p,35.45,Gas,Halogen,1774,Carl Scheele,Disinfectants / PVC / Water treatment
18,Ar,Argon,3,18,p,39.948,Gas,Noble Gas,1894,Ramsay & Strutt,Welding / Incandescent bulbs / Lasers
19,K,Potassium,4,1,s,39.098,Solid,Alkali Metal,1807,Humphry Davy,Fertilizers / Gunpowder / Body electrolytes
20,Ca,Calcium,4,2,s,40.078,Solid,Alkaline Earth Metal,1808,Humphry Davy,Cement / Bones / Cheese
21,Sc,Scandium,4,3,d,44.956,Solid,Transition Metal,1879,Lars Nilson,Aerospace alloys / Sports equipment
