Number,Prime Minister,Party,Term Start,Term End,Tenure (years),Monarch,Born,Died,Notable For
1,Robert Walpole,Whig,1721-04-03,1742-02-11,20.8,George I / George II,1676-08-26,1745-03-18,Generally regarded as first PM; longest-serving
2,Spencer Compton,Whig,1742-02-16,1743-07-02,1.4,George II,1673-04-01,1743-07-02,Died in office
3,Henry Pelham,Whig,1743-08-27,1754-03-06,10.5,George II,1694-09-25,1754-03-06,Died in office; Austrian Succession peace
4,Duke of Newcastle,Whig,1754-03-16,1756-11-11,2.7,George II,1693-07-21,1768-11-17,First term; Seven Years War began
5,Duke of Devonshire,Whig,1756-11-16,1757-07-25,0.7,George II,1720-05-08,1764-10-02,Seven Years War early phase
6,Duke of Newcastle,Whig,1757-07-02,1762-05-26,4.9,George II / George III,1693-07-21,1768-11-17,Second term; Seven Years War victory
7,Earl of Bute,Tory,1762-05-26,1763-04-08,0.9,George III,1713-05-25,1792-03-10,First Scottish PM; Treaty of Paris
8,George Grenville,Whig,1763-04-16,1765-07-13,2.2,George III,1712-10-14,1770-11-13,Stamp Act on American colonies
9,Marquess of Rockingham,Whig,1765-07-13,1766-07-30,1.0,George III,1730-05-13,1782-07-01,First term; repealed Stamp Act
10,Earl of Chatham (Pitt the Elder),Whig,1766-07-30,1768-10-14,2.2,George III,1708-11-15,1778-05-11,Seven Years War architect
11,Duke of Grafton,Whig,1768-10-14,1770-01-28,1.3,George III,1735-09-28,1811-03-14,Wilkes affair; Townshend Acts
12,Lord North,Tory,1770-01-28,1782-03-20,12.1,George III,1732-04-13,1792-08-05,American Independence lost; Tea Act
13,Marquess of Rockingham,Whig,1782-03-27,1782-07-01,0.3,George III,1730-05-13,1782-07-01,Second term; died in office
14,Earl of Shelburne,Whig,1782-07-04,1783-04-02,0.7,George III,1737-05-02,1805-05-07,Treaty of Paris (American independence)
15,Duke of Portland,Whig / Tory,1783-04-02,1783-12-19,0.7,George III,1738-04-14,1809-10-30,First term; Fox-North Coalition
16,William Pitt the Younger,Tory,1783-12-19,1801-03-14,17.2,George III,1759-05-28,1806-01-23,Youngest PM at 24; French Revolutionary Wars
17,Henry Addington,Tory,1801-03-17,1804-05-10,3.2,George III,1757-05-30,1844-02-15,Peace of Amiens with Napoleon
18,William Pitt the Younger,Tory,1804-05-10,1806-01-23,1.7,George III,1759-05-28,1806-01-23,Second term; died in office; Battle of Trafalgar
19,Lord Grenville,Whig,1806-02-11,1807-03-31,1.1,George III,1759-10-25,1834-01-12,Ministry of All the Talents; slave trade abolished
20,Duke of Portland,Tory,1807-03-31,1809-10-04,2.5,George III,1738-04-14,1809-10-30,Second term; Napoleonic Wars; died in office
21,Spencer Perceval,Tory,1809-10-04,1812-05-11,2.6,George III,1762-11-01,1812-05-11,Only PM assassinated
22,Earl of Liverpool,Tory,1812-06-08,1827-02-17,14.6,George III / George IV,1770-06-07,1828-12-04,Defeated Napoleon; Corn Laws; longest 19th-c PM
