State,Abbreviation,Capital,Population
Alabama,AL,Montgomery,200603
Alaska,AK,Juneau,32255
Arizona,AZ,Phoenix,1608139
Arkansas,AR,Little Rock,202591
California,CA,Sacramento,524943
Colorado,CO,Denver,715522
Connecticut,CT,Hartford,121054
Delaware,DE,Dover,39403
Florida,FL,Tallahassee,196169
Georgia,GA,Atlanta,498715
Hawaii,HI,Honolulu,350964
Idaho,ID,Boise,235684
Illinois,IL,Springfield,114394
Indiana,IN,Indianapolis,887642
Iowa,IA,Des Moines,214133
Kansas,KS,Topeka,126587
Kentucky,KY,Frankfort,28602
Louisiana,LA,Baton Rouge,227470
Maine,ME,Augusta,18899
Maryland,MD,Annapolis,40812
Massachusetts,MA,Boston,675647
Michigan,MI,Lansing,112644
Minnesota,MN,Saint Paul,311527
Mississippi,MS,Jackson,150806
Missouri,MO,Jefferson City,42535
Montana,MT,Helena,32655
Nebraska,NE,Lincoln,291082
Nevada,NV,Carson City,58639
New Hampshire,NH,Concord,43976
New Jersey,NJ,Trenton,90871
New Mexico,NM,Santa Fe,87505
New York,NY,Albany,99224
North Carolina,NC,Raleigh,467665
North Dakota,ND,Bismarck,73622
Ohio,OH,Columbus,905748
Oklahoma,OK,Oklahoma City,681054
Oregon,OR,Salem,175535
Pennsylvania,PA,Harrisburg,50099
Rhode Island,RI,Providence,190934
South Carolina,SC,Columbia,136632
South Dakota,SD,Pierre,14091
Tennessee,TN,Nashville,689447
Texas,TX,Austin,961855
Utah,UT,Salt Lake City,199723
Vermont,VT,Montpelier,8074
Virginia,VA,Richmond,226610
Washington,WA,Olympia,55605
West Virginia,WV,Charleston,48864
Wisconsin,WI,Madison,269840
Wyoming,WY,Cheyenne,65132
