Rank,Country/Territory,Status,Population,% of World,Date,Source Type
World,World,World,8232000000,100%,13 Jun 2025,UN projection
1,India,Country,1417492000,17.2%,1 Jul 2025,Official projection
2,China,Country,1404890000,17.0%,31 Dec 2025,Official estimate
3,United States,Country,341784857,4.1%,1 Jul 2025,Official estimate
4,Indonesia,Country,288315089,3.5%,31 Dec 2025,National annual projection
5,Pakistan,Country,241499431,2.9%,1 Mar 2023,2023 census result
6,Nigeria,Country,223800000,2.7%,1 Jul 2023,Official projection
7,Brazil,Country,213421037,2.6%,1 Jul 2025,Official estimate
8,Bangladesh,Country,169828911,2.1%,14 Jun 2022,2022 census result
9,Russia,Country,146028325,1.8%,1 Jan 2025,Official estimate
10,Mexico,Country,131001723,1.6%,31 Dec 2025,National quarterly estimate
11,Japan,Country,122860000,1.5%,1 Apr 2026,Monthly national estimate
12,Philippines,Country,114123600,1.4%,1 Jul 2025,Official projection
13,Democratic Republic of the Congo,Country,112832000,1.4%,1 Jul 2025,UN projection
14,Ethiopia,Country,111652998,1.4%,1 Jul 2025,National annual projection
15,Egypt,Country,107868296,1.3%,1 Jul 2025,Official estimate
16,Vietnam,Country,102300000,1.2%,31 Dec 2025,Official estimate
17,Iran,Country,86563000,1.0%,20 Mar 2025,Official projection
18,Turkey,Country,86092168,1.0%,31 Dec 2025,Official estimate
19,Germany,Country,83497147,1.0%,30 Sep 2025,National quarterly estimate
20,United Kingdom,Country,69487000,0.8%,30 Jun 2025,Official estimate
21,France,Country,69081996,0.8%,1 Jan 2026,Yearly national estimate
22,Tanzania,Country,68153004,0.8%,1 Jul 2025,Official projection
23,Thailand,Country,65826149,0.8%,30 Nov 2025,Monthly national estimate
24,South Africa,Country,63100945,0.8%,30 Jun 2025,Official estimate
25,Italy,Country,58931425,0.7%,31 Jan 2026,Monthly national estimate
26,Kenya,Country,53330978,0.6%,1 Jul 2025,Official projection
27,Colombia,Country,53057212,0.6%,1 Jan 2025,Official projection
28,Sudan,Country,51662000,0.6%,1 Jul 2025,UN projection
29,Myanmar,Country,51375327,0.6%,15 Oct 2024,2024 census result
30,South Korea,Country,51111158,0.6%,31 Jan 2026,Monthly national estimate
31,Spain,Country,49570725,0.6%,1 Jan 2026,National quarterly estimate
32,Algeria,Country,47400000,0.6%,1 Jan 2025,National annual projection
33,Argentina,Country,46387098,0.6%,1 Jul 2025,National annual projection
34,Iraq,Country,46118793,0.6%,21 Nov 2024,2024 census result
35,Uganda,Country,45905417,0.6%,10 May 2024,2024 census result
36,Afghanistan,Country,43844000,0.5%,1 Jul 2025,UN projection
37,Canada,Country,41472081,0.5%,1 Jan 2026,National quarterly estimate
38,Angola,Country,38778554,0.5%,1 Jan 2026,National estimate
39,Uzbekistan,Country,38236704,0.5%,1 Jan 2026,Official estimate
40,Poland,Country,37296000,0.5%,28 Feb 2026,Monthly national estimate
41,Morocco,Country,36828330,0.4%,1 Sep 2024,2024 census result
42,Saudi Arabia,Country,35300280,0.4%,1 Jul 2024,Official estimate
43,Peru,Country,34350244,0.4%,1 Jul 2025,National annual projection
44,Malaysia,Country,34334400,0.4%,31 Dec 2025,National quarterly estimate
45,Mozambique,Country,34090466,0.4%,1 Jul 2025,National annual projection
46,Ghana,Country,33742380,0.4%,1 Jul 2025,National annual projection
47,Yemen,Country,32684503,0.4%,1 Jul 2023,Official estimate
48,Madagascar,Country,31727042,0.4%,1 Jul 2025,National annual projection
49,Ivory Coast,Country,31719275,0.4%,31 Dec 2024,National annual projection
50,Nepal,Country,29911840,0.4%,25 Nov 2025,National annual projection
51,Cameroon,Country,29442327,0.4%,1 Jul 2025,National annual projection
52,Ukraine,Country,28700000,0.3%,1 Sep 2025,State migration service
53,Venezuela,Country,28517000,0.3%,1 Jul 2025,UN projection
54,Australia,Country,27724744,0.3%,30 Sep 2025,Official projection
55,Niger,Country,27522750,0.3%,1 Jul 2025,National annual projection
56,North Korea,Country,25950000,0.3%,1 Jul 2024,National annual projection
57,Syria,Country,25620427,0.3%,1 Jul 2025,Monthly estimate
58,Burkina Faso,Country,24070553,0.3%,1 Jul 2025,Official projection
59,Taiwan,Territory,23270568,0.3%,31 Mar 2026,Official estimate
60,Mali,Country,22395489,0.3%,15 Jun 2022,2022 census result
61,Sri Lanka,Country,21781800,0.3%,19 Dec 2024,2024 census result
62,Malawi,Country,20734262,0.3%,1 Jul 2025,National annual projection
63,Kazakhstan,Country,20532240,0.2%,1 Mar 2026,Official estimate
64,Chile,Country,20206953,0.2%,30 Jun 2025,National annual projection
65,Zambia,Country,19693423,0.2%,8 Sep 2022,2022 census result
66,Somalia,Country,19655000,0.2%,1 Jul 2025,UN projection
67,Chad,Country,19340757,0.2%,1 Jul 2025,National annual projection
68,Senegal,Country,19075959,0.2%,1 Jul 2025,National annual projection
69,Romania,Country,19036031,0.2%,1 Jan 2025,Official estimate
70,Netherlands,Country,18137265,0.2%,28 Feb 2026,Official estimate
71,Ecuador,Country,18103660,0.2%,1 Jul 2025,National annual projection
72,Guatemala,Country,18312373,0.2%,1 Jul 2026,National annual projection
73,Cambodia,Country,17577760,0.2%,1 Jul 2025,Official projection
74,Guinea,Country,17521167,0.2%,1 Jul 2025,Census
75,Zimbabwe,Country,17073087,0.2%,1 Jul 2025,Official projection
76,South Sudan,Country,15786898,0.2%,1 Jul 2025,National annual projection
77,Rwanda,Country,14104969,0.2%,1 Jul 2025,National annual projection
78,Benin,Country,13224860,0.2%,1 Jul 2025,National annual projection
79,Burundi,Country,12332788,0.1%,16 Aug 2024,Preliminary census result
80,Tunisia,Country,11972169,0.1%,6 Nov 2024,2024 census result
81,Jordan,Country,11937000,0.1%,31 Dec 2025,National estimate
82,Belgium,Country,11930567,0.1%,1 Feb 2026,Official estimate
83,Haiti,Country,11867032,0.1%,1 Jul 2024,National annual projection
84,Bolivia,Country,11365333,0.1%,23 Mar 2024,2024 census result
85,United Arab Emirates,Country,11294243,0.1%,31 Dec 2024,Official estimate
86,Czechia,Country,10915839,0.1%,31 Dec 2025,Official estimate
87,Dominican Republic,Country,10771504,0.1%,10 Nov 2022,2022 census result
88,Portugal,Country,10749635,0.1%,31 Dec 2024,Official estimate
89,Sweden,Country,10604061,0.1%,28 Feb 2026,Monthly national estimate
90,Tajikistan,Country,10499000,0.1%,1 Jan 2025,Official estimate
91,Greece,Country,10372335,0.1%,1 Jan 2025,Official estimate
92,Azerbaijan,Country,10259701,0.1%,1 Dec 2025,Monthly national estimate
93,Israel,Country,10244000,0.1%,21 Apr 2026,Monthly national estimate
94,Papua New Guinea,Country,10185363,0.1%,16 Jun 2024,2024 census result
95,Honduras,Country,10186738,0.1%,1 Jul 2026,National annual projection
96,Cuba,Country,9748007,0.1%,31 Dec 2024,Official estimate
97,Hungary,Country,9489000,0.1%,1 Jan 2026,Official estimate
98,Austria,Country,9219113,0.1%,1 Jan 2026,National quarterly estimate
99,Switzerland,Country,9124288,0.1%,31 Dec 2025,National quarterly estimate
100,Sierra Leone,Country,9077691,0.1%,1 Jul 2025,National annual projection
101,Belarus,Country,9056080,0.1%,1 Jan 2026,Official estimate
102,Togo,Country,8095498,0.10%,8 Nov 2022,2022 census result
103,Laos,Country,7647000,0.09%,1 Jul 2024,National annual projection
104,Hong Kong (China),Territory,7510800,0.09%,31 Dec 2025,National estimate
105,Libya,Country,7459000,0.09%,1 Jul 2025,UN projection
106,Kyrgyzstan,Country,7404300,0.09%,1 Jan 2026,Monthly national estimate
107,Turkmenistan,Country,7057841,0.09%,17 Dec 2022,2022 census result
108,Nicaragua,Country,6874748,0.08%,30 Jun 2024,Official estimate
109,Serbia,Country,6567783,0.08%,1 Jan 2025,Official estimate
110,Central African Republic,Country,6470307,0.08%,1 Jul 2024,National annual projection
111,Bulgaria,Country,6437360,0.08%,31 Dec 2024,Official estimate
112,Congo,Country,6142180,0.07%,17 May 2023,2023 census result
113,Singapore,Country,6110200,0.07%,30 Jun 2025,National annual projection
114,Paraguay,Country,6109644,0.07%,9 Nov 2022,2022 census result
115,El Salvador,Country,6029976,0.07%,2 May 2024,2024 census result
116,Denmark,Country,6029607,0.07%,1 Mar 2026,Monthly national estimate
117,Finland,Country,5650933,0.07%,31 Mar 2026,Monthly national estimate
118,Norway,Country,5627400,0.07%,31 Dec 2025,National quarterly estimate
119,Lebanon,Country,5490000,0.07%,1 Jul 2021,Official estimate
120,Palestine,Territory,5483450,0.07%,1 Jan 2023,National annual projection
121,Ireland,Country,5458600,0.07%,1 Apr 2025,National estimate
122,Slovakia,Country,5409407,0.07%,31 Dec 2025,National quarterly estimate
